name,size
minuscule,37
very minuscule,7
less minuscule,47
more minuscule,27
much minuscule,-2
really minuscule,-22
undersize,35
very undersize,5
less undersize,45
more undersize,25
much undersize,-4
really undersize,-24
teentsy,38
very teentsy,8
less teentsy,48
more teentsy,28
much teentsy,-1
really teentsy,-21
olive-sized,35
very olive-sized,5
less olive-sized,45
more olive-sized,25
much olive-sized,-4
really olive-sized,-24
flyspeck,39
very flyspeck,9
less flyspeck,49
more flyspeck,29
much flyspeck,0
really flyspeck,-20
weeny,36
very weeny,6
less weeny,46
more weeny,26
much weeny,-3
really weeny,-23
weensy,35
very weensy,5
less weensy,45
more weensy,25
much weensy,-4
really weensy,-24
tiny,34
very tiny,4
less tiny,44
more tiny,24
much tiny,-5
really tiny,-25
size,109
very size,139
less size,99
more size,119
much size,149
really size,169
pocketable,33
very pocketable,3
less pocketable,43
more pocketable,23
much pocketable,-6
really pocketable,-26
subatomic,35
very subatomic,5
less subatomic,45
more subatomic,25
much subatomic,-4
really subatomic,-24
smaller,32
very smaller,2
less smaller,42
more smaller,22
much smaller,-7
really smaller,-27
teeny,31
very teeny,1
less teeny,41
more teeny,21
much teeny,-8
really teeny,-28
microscopic,31
very microscopic,1
less microscopic,41
more microscopic,21
much microscopic,-8
really microscopic,-28
petite,36
very petite,6
less petite,46
more petite,26
much petite,-3
really petite,-23
diminutive,36
very diminutive,6
less diminutive,46
more diminutive,26
much diminutive,-3
really diminutive,-23
minute,34
very minute,4
less minute,44
more minute,24
much minute,-5
really minute,-25
lesser,30
very lesser,0
less lesser,40
more lesser,20
much lesser,-9
really lesser,-29
miniscule,37
very miniscule,7
less miniscule,47
more miniscule,27
much miniscule,-2
really miniscule,-22
wee,38
very wee,8
less wee,48
more wee,28
much wee,-1
really wee,-21
teensy,39
very teensy,9
less teensy,49
more teensy,29
much teensy,0
really teensy,-20
miniature,38
very miniature,8
less miniature,48
more miniature,28
much miniature,-1
really miniature,-21
elflike,38
very elflike,8
less elflike,48
more elflike,28
much elflike,-1
really elflike,-21
slender,39
very slender,9
less slender,49
more slender,29
much slender,0
really slender,-20
microscopical,35
very microscopical,5
less microscopical,45
more microscopical,25
much microscopical,-4
really microscopical,-24
slim,33
very slim,3
less slim,43
more slim,23
much slim,-6
really slim,-26
lilliputian,37
very lilliputian,7
less lilliputian,47
more lilliputian,27
much lilliputian,-2
really lilliputian,-22
undersized,32
very undersized,2
less undersized,42
more undersized,22
much undersized,-7
really undersized,-27
littler,38
very littler,8
less littler,48
more littler,28
much littler,-1
really littler,-21
infinitesimal,38
very infinitesimal,8
less infinitesimal,48
