name,size
minuscule,0.34
very minuscule,0.19
less minuscule,0.49
more minuscule,0.28
much minuscule,0.23
really minuscule,0.21
undersize,0.31
very undersize,0.17
less undersize,0.44
more undersize,0.26
much undersize,0.21
really undersize,0.19
teentsy,0.36
very teentsy,0.2
less teentsy,0.52
more teentsy,0.3
much teentsy,0.24
really teentsy,0.23
olive-sized,0.31
very olive-sized,0.17
less olive-sized,0.44
more olive-sized,0.26
much olive-sized,0.21
really olive-sized,0.19
flyspeck,0.39
very flyspeck,0.22
less flyspeck,0.56
more flyspeck,0.33
much flyspeck,0.26
really flyspeck,0.25
weeny,0.32
very weeny,0.18
less weeny,0.46
more weeny,0.27
much weeny,0.21
really weeny,0.2
weensy,0.32
very weensy,0.18
less weensy,0.45
more weensy,0.26
much weensy,0.21
really weensy,0.2
tiny,0.29
very tiny,0.16
less tiny,0.41
more tiny,0.24
much tiny,0.19
really tiny,0.18
size,1.09
very size,1.96
less size,0.76
more size,1.31
much size,1.64
really size,1.74
pocketable,0.28
very pocketable,0.15
less pocketable,0.4
more pocketable,0.23
much pocketable,0.18
really pocketable,0.17
subatomic,0.32
very subatomic,0.18
less subatomic,0.45
more subatomic,0.26
much subatomic,0.21
really subatomic,0.2
smaller,0.26
very smaller,0.14
less smaller,0.37
more smaller,0.22
much smaller,0.17
really smaller,0.16
teeny,0.24
very teeny,0.13
less teeny,0.34
more teeny,0.2
much teeny,0.16
really teeny,0.15
microscopic,0.24
very microscopic,0.13
less microscopic,0.34
more microscopic,0.2
much microscopic,0.16
really microscopic,0.15
petite,0.32
very petite,0.18
less petite,0.46
more petite,0.27
much petite,0.22
really petite,0.2
diminutive,0.33
very diminutive,0.18
less diminutive,0.47
more diminutive,0.28
much diminutive,0.22
really diminutive,0.21
minute,0.3
very minute,0.16
less minute,0.42
more minute,0.25
much minute,0.2
really minute,0.18
lesser,0.22
very lesser,0.12
less lesser,0.31
more lesser,0.18
much lesser,0.15
really lesser,0.14
miniscule,0.35
very miniscule,0.2
less miniscule,0.5
more miniscule,0.29
much miniscule,0.23
really miniscule,0.22
wee,0.38
very wee,0.21
less wee,0.54
more wee,0.31
much wee,0.25
really wee,0.23
teensy,0.38
very teensy,0.21
less teensy,0.55
more teensy,0.32
much teensy,0.26
really teensy,0.24
miniature,0.37
very miniature,0.2
less miniature,0.53
more miniature,0.31
much miniature,0.25
really miniature,0.23
elflike,0.38
very elflike,0.21
less elflike,0.54
more elflike,0.32
much elflike,0.25
really elflike,0.24
slender,0.38
very slender,0.21
less slender,0.55
more slender,0.32
much slender,0.26
really slender,0.24
microscopical,0.31
very microscopical,0.17
less microscopical,0.44
more microscopical,0.26
much microscopical,0.21
really microscopical,0.19
slim,0.28
very slim,0.15
less slim,0.4
more slim,0.23
much slim,0.19
really slim,0.17
lilliputian,0.34
very lilliputian,0.19
less lilliputian,0.49
more lilliputian,0.28
much lilliputian,0.23
really lilliputian,0.21
undersized,0.26
very undersized,0.14
less undersized,0.36
more undersized,0.21
much undersized,0.17
really undersized,0.16
littler,0.36
very littler,0.2
less littler,0.52
more littler,0.3
much littler,0.24
really littler,0.23
infinitesimal,0.37
very infinitesimal,0.21
less infinitesimal,0.53
more infinitesimal,0.31
much infinitesimal,0.25
really infinitesimal,0.23
small-scale,0.38
very small-scale,0.21
less small-scale,0.54
more small-scale,0.32
much small-scale,0.25
really small-scale,0.24
bitty,0.32
very bitty,0.18
less bitty,0.45
more bitty,0.26
much bitty,0.21
really bitty,0.2
midget,0.39
very midget,0.22
less midget,0.56
more midget,0.32
much midget,0.26
really midget,0.24
atomic,0.32
very atomic,0.18
less atomic,0.45
more atomic,0.26
much atomic,0.21
really atomic,0.2
teensy-weensy,0.29
very teensy-weensy,0.16
less teensy-weensy,0.41
more teensy-weensy,0.24
much teensy-weensy,0.19
really teensy-weensy,0.18
puny,0.33
very puny,0.18
less puny,0.47
more puny,0.28
much puny,0.22
really puny,0.21
shrimpy,0.4
very shrimpy,0.22
less shrimpy,0.57
more shrimpy,0.33
much shrimpy,0.27
really shrimpy,0.25
runty,0.38
very runty,0.21
less runty,0.55
more runty,0.32
much runty,0.26
really runty,0.24
gnomish,0.36
very gnomish,0.2
less gnomish,0.51
more gnomish,0.3
much gnomish,0.24
really gnomish,0.22
elfin,0.22
very elfin,0.12
less elfin,0.31
more elfin,0.18
much elfin,0.14
really elfin,0.14
pocket-size,0.32
very pocket-size,0.18
less pocket-size,0.46
more pocket-size,0.27
much pocket-size,0.22
really pocket-size,0.2
half-size,0.3
very half-size,0.17
less half-size,0.42
more half-size,0.25
much half-size,0.2
really half-size,0.19
little,0.33
very little,0.18
less little,0.47
more little,0.27
much little,0.22
really little,0.2
dinky,0.37
very dinky,0.21
less dinky,0.53
more dinky,0.31
much dinky,0.25
really dinky,0.23
micro,0.25
very micro,0.14
less micro,0.36
more micro,0.21
much micro,0.17
really micro,0.16
itsy-bitsy,0.35
very itsy-bitsy,0.19
less itsy-bitsy,0.49
more itsy-bitsy,0.29
much itsy-bitsy,0.23
really itsy-bitsy,0.22
bantam,0.22
very bantam,0.12
less bantam,0.32
more bantam,0.19
much bantam,0.15
really bantam,0.14
bittie,0.24
very bittie,0.14
less bittie,0.35
more bittie,0.2
much bittie,0.16
really bittie,0.15
dwarfish,0.36
very dwarfish,0.2
less dwarfish,0.51
more dwarfish,0.3
much dwarfish,0.24
really dwarfish,0.22
teeny-weeny,0.27
very teeny-weeny,0.15
less teeny-weeny,0.38
more teeny-weeny,0.22
much teeny-weeny,0.18
really teeny-weeny,0.17
smallish,0.36
very smallish,0.2
less smallish,0.52
more smallish,0.3
much smallish,0.24
really smallish,0.23
itty-bitty,0.22
very itty-bitty,0.12
less itty-bitty,0.31
more itty-bitty,0.18
much itty-bitty,0.15
really itty-bitty,0.14
pocket-sized,0.23
very pocket-sized,0.13
less pocket-sized,0.33
more pocket-sized,0.19
much pocket-sized,0.15
really pocket-sized,0.14
smallest,0.06
very smallest,0.04
less smallest,0.09
more smallest,0.05
much smallest,0.04
really smallest,0.04
small,0.34
very small,0.19
less small,0.49
more small,0.28
much small,0.23
really small,0.21
mean,0.41
very mean,0.74
less mean,0.29
more mean,0.49
much mean,0.61
really mean,0.65
normal,0.51
very normal,0.93
less normal,0.36
more normal,0.62
much normal,0.77
really normal,0.82
average,0.58
very average,1.05
less average,0.41
more average,0.7
much average,0.87
really average,0.93
biggish,1.1
very biggish,1.98
less biggish,0.77
more biggish,1.32
much biggish,1.65
really biggish,1.76
macroscopic,1.06
very macroscopic,1.91
less macroscopic,0.74
more macroscopic,1.27
much macroscopic,1.59
really macroscopic,1.7
jumbo,1.09
very jumbo,1.97
less jumbo,0.77
